,trazoA,trazoB,trazoC,ValorMulta
317,1,0,0,0
318,2,4,5,300
319,1,0,0,0
320,2,4,5,0
321,2,4,5,300
322,2,4,5,300
323,1,0,0,0
324,2,3,5,300
325,2,3,5,600
326,1,0,0,0
327,2,4,5,300
328,1,0,0,0
329,1,0,0,0
330,1,0,0,0
331,2,4,5,300
332,1,0,0,0
333,1,0,0,0
334,1,0,0,0
335,2,4,5,300
336,2,3,5,0
337,2,3,5,600
338,2,3,5,600
339,2,4,5,0
340,1,0,0,0
341,2,4,5,600
342,1,0,0,0
343,1,0,0,0
344,2,3,5,0
345,2,3,5,0
346,2,4,5,300
347,1,0,0,0
348,2,3,5,0
349,2,4,5,300
350,2,4,5,0
351,1,0,0,0
352,2,3,5,300
353,2,3,5,0
354,2,4,5,600
355,2,4,5,0
356,2,4,5,0
357,1,0,0,0
358,2,3,5,900
359,1,0,0,0
360,1,0,0,0
361,1,0,0,0
362,1,0,0,0
363,2,3,5,600
364,1,0,0,0
365,2,4,5,0
366,1,0,0,0
367,2,3,5,0
368,2,3,5,600
369,1,0,0,0
370,2,3,5,300
371,1,0,0,0
372,1,0,0,0
373,1,0,0,0
374,1,0,0,0
375,1,0,0,0
376,1,0,0,0
377,1,0,0,0
378,2,3,5,0
379,2,3,5,300
380,1,0,0,0
381,2,3,5,0
382,1,0,0,0
383,2,4,5,300
384,1,0,0,0
385,1,0,0,0
386,2,4,5,300
387,2,4,5,0
388,2,3,5,300
389,2,4,5,0
390,1,0,0,0
391,2,3,5,300
392,2,4,5,0
393,2,4,5,0
394,1,0,0,0
395,1,0,0,0
396,1,0,0,0
397,2,3,5,0
398,2,4,5,0
399,2,4,5,300
400,1,0,0,0
401,2,4,5,300
402,2,3,5,300
403,1,0,0,0
404,1,0,0,0
405,1,0,0,0
406,2,4,5,0
407,2,3,5,0
408,2,3,5,300
409,1,0,0,0
410,1,0,0,0
411,2,4,5,300
412,1,0,0,0
413,2,3,5,300
414,2,3,5,300
415,1,0,0,0
416,2,4,5,300
417,2,3,5,0
418,1,0,0,0
419,2,3,5,0
420,2,3,5,300
421,2,3,5,300
422,2,3,5,600
423,2,3,5,300
424,2,4,5,600
425,1,0,0,0
426,2,4,5,300
427,1,0,0,0
428,1,0,0,0
429,2,4,5,300
430,2,3,5,0
431,1,0,0,0
432,2,4,5,600
433,2,4,5,0
434,1,0,0,0
435,1,0,0,0
436,2,3,5,0
437,1,0,0,0
438,1,0,0,0
439,2,3,5,600
440,1,0,0,0
441,2,3,5,300
442,2,4,5,0
443,1,0,0,0
444,1,0,0,0
445,1,0,0,0
446,2,4,5,300
447,1,0,0,0
448,1,0,0,0
449,2,4,5,0
450,1,0,0,0
451,2,3,5,600
452,2,4,5,300
453,1,0,0,0
454,1,0,0,0
455,2,3,5,0
456,2,4,5,300
457,1,0,0,0
458,1,0,0,0
459,1,0,0,0
460,1,0,0,0
461,1,0,0,0
462,2,4,5,600
463,2,3,5,0
464,1,0,0,0
465,2,3,5,900
466,2,3,5,600
467,1,0,0,0
468,1,0,0,0
469,1,0,0,0
470,2,4,5,600
471,2,3,5,0
472,2,3,5,0
473,1,0,0,0
474,1,0,0,0
475,2,3,5,0
476,2,4,5,0
477,1,0,0,0
478,1,0,0,0
479,1,0,0,0
480,2,3,5,0
481,1,0,0,0
482,2,4,5,0
483,1,0,0,0
484,2,3,5,300
485,1,0,0,0
486,2,3,5,600
487,2,3,5,0
488,2,3,5,300
489,2,4,5,0
490,2,4,5,300
491,2,4,5,300
492,1,0,0,0
493,2,3,5,300
494,2,3,5,300
495,2,3,5,300
496,2,3,5,300
497,2,4,5,0
498,1,0,0,0
499,2,4,5,300
500,2,4,5,0
501,2,3,5,600
502,2,4,5,600
503,2,4,5,0
504,1,0,0,0
505,1,0,0,0
506,1,0,0,0
507,2,4,5,300
508,2,4,5,300
509,1,0,0,0
510,2,3,5,600
511,2,3,5,0
512,2,3,5,300
513,2,4,5,300
514,1,0,0,0
515,2,4,5,300
516,2,3,5,300
517,2,3,5,300
518,2,3,5,300
519,2,4,5,300
520,1,0,0,0
521,2,4,5,300
522,1,0,0,0
523,2,3,5,600
524,2,4,5,300
525,1,0,0,0
526,2,4,5,300
527,2,3,5,0
528,2,3,5,300
529,1,0,0,0
530,2,4,5,600
531,1,0,0,0
532,2,4,5,0
533,1,0,0,0
534,1,0,0,0
535,1,0,0,0
536,2,4,5,300
537,2,3,5,300
538,1,0,0,0
539,2,3,5,0
540,1,0,0,0
541,1,0,0,0
542,2,3,5,300
543,1,0,0,0
544,1,0,0,0
545,2,4,5,300
546,2,4,5,600
547,1,0,0,0
548,2,3,5,0
549,2,4,5,300
550,2,4,5,0
551,1,0,0,0
552,1,0,0,0
553,1,0,0,0
554,2,3,5,0
555,2,4,5,300
556,2,4,5,0
557,1,0,0,0
558,2,4,5,300
559,2,4,5,0
560,1,0,0,0
561,2,3,5,300
562,2,3,5,0
563,2,4,5,0
564,2,4,5,300
565,2,4,5,300
566,2,4,5,300
567,2,3,5,300
568,2,4,5,0
569,2,3,5,0
570,1,0,0,0
571,1,0,0,0
572,2,4,5,300
573,1,0,0,0
574,2,4,5,600
575,2,4,5,0
576,1,0,0,0
577,2,3,5,300
578,1,0,0,0
579,2,3,5,0
580,2,4,5,0
581,2,4,5,0
582,2,4,5,0
583,1,0,0,0
584,1,0,0,0
585,2,3,5,300
586,2,3,5,300
587,2,4,5,600
588,1,0,0,0
589,1,0,0,0
590,2,4,5,600
591,2,3,5,0
592,2,3,5,600
593,2,3,5,600
594,2,4,5,300
595,1,0,0,0
596,1,0,0,0
597,2,3,5,600
598,1,0,0,0
599,2,3,5,600
600,1,0,0,0
601,1,0,0,0
602,1,0,0,0
603,2,3,5,300
604,2,4,5,0
605,1,0,0,0
606,2,3,5,300
607,2,3,5,600
608,2,4,5,300
609,2,4,5,300
610,2,4,5,0
611,2,3,5,300
612,1,0,0,0
613,1,0,0,0
614,2,3,5,300
615,2,4,5,0
616,2,4,5,0
617,1,0,0,0
618,2,3,5,300
619,2,4,5,300
620,1,0,0,0
621,2,3,5,300
622,1,0,0,0
623,2,4,5,0
624,2,4,5,600
625,1,0,0,0
626,2,3,5,300
627,1,0,0,0
628,2,4,5,0
629,2,4,5,0
630,1,0,0,0
631,2,3,5,0
632,1,0,0,0
633,2,3,5,300
634,1,0,0,0
635,1,0,0,0
636,1,0,0,0
637,1,0,0,0
638,1,0,0,0
639,1,0,0,0
640,2,3,5,0
641,1,0,0,0
642,1,0,0,0
643,1,0,0,0
644,2,3,5,300
645,1,0,0,0
646,2,4,5,0
647,1,0,0,0
648,2,4,5,300
649,2,3,5,300
650,1,0,0,0
651,2,3,5,300
652,1,0,0,0
653,2,3,5,0
654,2,4,5,300
655,1,0,0,0
656,2,3,5,0
657,2,3,5,600
658,1,0,0,0
659,1,0,0,0
660,2,4,5,300
661,1,0,0,0
662,2,4,5,300
663,2,4,5,300
664,2,4,5,0
665,1,0,0,0
666,1,0,0,0
667,2,4,5,0
668,1,0,0,0
669,2,4,5,300
670,1,0,0,0
671,2,3,5,0
672,2,3,5,0
673,2,4,5,300
674,2,3,5,0
675,2,3,5,300
676,1,0,0,0
677,2,3,5,0
678,2,4,5,300
679,1,0,0,0
680,2,3,5,300
681,1,0,0,0
682,1,0,0,0
683,1,0,0,0
684,2,3,5,600
685,2,4,5,300
686,1,0,0,0
687,2,4,5,0
688,2,4,5,0
689,2,4,5,0
690,2,3,5,600
691,1,0,0,0
692,1,0,0,0
693,2,3,5,600
694,1,0,0,0
695,2,3,5,300
696,2,3,5,0
697,1,0,0,0
698,2,4,5,0
699,2,3,5,0
700,2,3,5,300
701,1,0,0,0
702,1,0,0,0
703,2,4,5,0
704,1,0,0,0
705,1,0,0,0
706,2,4,5,300
707,1,0,0,0
708,2,3,5,300
709,2,3,5,300
710,2,4,5,0
711,2,4,5,300
712,1,0,0,0
713,2,4,5,300
714,1,0,0,0
715,1,0,0,0
716,1,0,0,0
717,1,0,0,0
718,1,0,0,0
719,1,0,0,0
